iter	Passed	Remaining
0	1	111
1	1	70
2	1	59
3	2	51
4	2	48
5	2	45
6	3	42
7	3	40
8	3	39
9	4	37
10	4	36
11	4	35
12	5	35
13	5	33
14	5	33
15	6	32
16	6	31
17	6	31
18	7	30
19	7	30
20	7	29
21	8	29
22	8	28
23	8	28
24	9	27
25	9	27
26	9	26
27	10	26
28	10	26
29	11	25
30	11	25
31	11	25
32	12	25
33	13	26
34	14	26
35	14	26
36	15	25
37	15	25
38	16	25
39	16	24
40	16	24
41	17	23
42	17	23
43	18	23
44	18	22
45	19	22
46	19	21
47	19	21
48	20	21
49	20	20
50	21	20
51	21	20
52	22	19
53	22	19
54	23	18
55	23	18
56	24	18
57	24	17
58	25	17
59	25	17
60	26	16
61	26	16
62	27	15
63	27	15
64	27	14
65	28	14
66	28	14
67	29	13
68	29	13
69	29	12
70	30	12
71	30	11
72	31	11
73	31	11
74	32	10
75	32	10
76	32	9
77	33	9
78	33	9
79	34	8
80	34	8
81	35	7
82	35	7
83	35	6
84	36	6
85	36	5
86	37	5
87	37	5
88	38	4
89	38	4
90	38	3
91	39	3
92	39	2
93	40	2
94	40	2
95	41	1
96	41	1
97	41	0
98	42	0
99	42	0
